,Satellite Name,In-License Launch Number,Administration,Longitude,Date of Receipt,Launch Offset (days),Launch Country Match,Launch Spaceport Match,Launch Vehicle Match,Satellite Manufacturer Match,Match Sum
1438,USASAT-26A,1,USA,-37.5,22.06.2009,43,1,1,1,1,4
223,NSS-G2-1,3,HOL,-177.0,23.10.2015,74,1,1,1,1,4
108,LUX-G3-4,2,LUX,31.0,02.06.2010,79,1,1,1,1,4
979,LUX-G7-20,1,LUX,108.2,01.08.2016,93,1,1,1,1,4
1111,USASAT-28O,1,USA,-86.15,10.09.2018,93,1,1,1,1,4
1146,GIBSAT-108.2E,1,G,108.2,11.01.2019,93,1,1,1,1,4
1282,LUX-G5-25,2,LUX,108.2,30.04.2013,93,1,1,1,1,4
1575,AM-SAT-108.2E-G,2,G,108.2,17.04.2013,93,1,1,1,1,4
445,USGOVSAT-10,1,USA,60.0,28.05.2010,124,1,1,1,1,4
179,CANSAT-24,1,CAN,-111.1,14.12.2010,139,1,1,1,1,4
560,USASAT-60H,1,USA,-123.0,09.09.2011,141,1,1,1,1,4
779,CANSAT-31,1,CAN,-82.0,26.01.2011,149,1,1,1,1,4
800,INMARSAT-4A 98W,1,G,-98.0,17.06.2014,178,1,1,1,1,4
819,INMARSAT-6-98W,1,G,-98.0,25.06.2021,178,1,1,1,1,4
836,INMARSAT-4 98W,1,G,-98.0,17.02.2010,178,1,1,1,1,4
367,AM-SAT 125W,1,G,-125.0,28.07.2008,185,1,1,1,1,4
80,NSS-G2-17,1,HOL,57.0,23.10.2015,200,1,1,1,1,4
907,SKYNET-5E,1,G,-17.8,23.01.2014,245,1,1,1,1,4
1412,USASAT-60P,1,USA,-31.5,28.03.2017,271,1,1,1,1,4
605,USASAT-60T,1,USA,-45.0,06.11.2019,273,1,1,1,1,4
958,USASAT-55N,1,USA,85.0,29.09.2016,290,1,1,1,1,4
1461,USGOVSAT-12,1,USA,175.0,13.05.2010,302,1,1,1,1,4
1098,ICO-G,1,G,-93.0,03.04.2009,304,1,1,1,1,4
1642,UKSAT-KU-4,1,G,-76.0,27.08.2014,336,1,1,1,1,4
