,Satellite Name,In-License Launch Number,Administration,Longitude,Date of Receipt,Launch Offset (days),Launch Country Match,Launch Spaceport Match,Launch Vehicle Match,Satellite Manufacturer Match,Match Sum
1586,USGCSS PH3 INDOC,1,USA,60.0,14.09.1998,12,1,1,1,1,4
972,USASAT-35Y,1,USA,-133.0,10.11.2004,17,1,1,1,1,4
1169,USASAT-22A,1,USA,-133.0,25.09.1998,17,1,1,1,1,4
932,USGCSS PH3B W PAC,1,USA,175.0,27.11.2000,48,1,1,1,1,4
548,MILSTAR 1,1,USA,-90.0,27.11.2000,74,1,1,1,1,4
1122,USGCSS PH3B W ATL,1,USA,-52.5,27.11.2000,74,1,1,1,1,4
671,USASAT-14G,1,USA,169.0,02.10.1998,156,1,1,1,1,4
1369,USASAT-60J,1,USA,169.0,15.10.2009,202,1,1,1,1,4
1091,USASAT-24J,1,USA,-99.0,25.09.1998,223,1,1,1,1,4
1496,USGCSS PH3 W PAC-2,1,USA,180.0,27.11.2000,234,1,1,1,1,4
394,ACS-1,1,USA,-101.0,02.10.1998,332,1,1,1,1,4
1175,MCS-1,1,USA,-101.0,02.10.1998,332,1,1,1,1,4
1439,USASAT-26A,2,USA,-37.5,22.06.2009,346,1,1,1,1,4
1465,MILSTAR 5,1,USA,90.0,27.11.2000,347,1,1,1,1,4
649,USGCSS PH3B MID-ATL,1,USA,-42.5,02.06.2005,376,1,1,1,1,4
101,USGCSS PH3 MID-ATL,1,USA,-42.5,27.11.2000,392,1,1,1,1,4
103,INTELSAT6 85E,1,USA,85.0,01.05.2002,438,1,1,1,1,4
176,INTELSAT7 85E,1,USA,85.0,21.12.2001,438,1,1,1,1,4
752,INTELSAT7 342E,1,USA,-18.0,29.10.1998,438,1,1,1,1,4
1540,INTELSAT KFOS 85E,1,USA,85.0,21.12.2001,438,1,1,1,1,4
1674,INTELSAT8 85E,1,USA,85.0,21.12.2001,438,1,1,1,1,4
1208,USASAT-24K,1,USA,-91.0,25.09.1998,463,1,1,1,1,4
10,USASAT-35T,1,USA,-79.0,17.11.2004,464,1,1,1,1,4
1144,USASAT-22H,1,USA,-131.0,25.09.1998,464,1,1,1,1,4
1013,INTELSAT7 340E,1,USA,-20.0,28.11.2001,467,1,1,1,1,4
581,USGCSS PH3B ATL,1,USA,-12.0,27.11.2000,474,1,1,1,1,4
789,USGCSS PH3 W PAC,1,USA,175.0,14.09.1998,474,1,1,1,1,4
1251,USASAT-21A,1,USA,-135.0,25.09.1998,474,1,1,1,1,4
59,INTELSAT8 307E,3,USA,-53.0,27.09.2001,499,1,1,1,1,4
