,Satellite Name,In-License Launch Number,Administration,Longitude,Date of Receipt,Launch Offset (days),Launch Country Match,Launch Spaceport Match,Launch Vehicle Match,Satellite Manufacturer Match,Match Sum
300,MEASAT-IK 91.5E,2,MLA,91.5,28.07.1999,49,1,1,1,1,4
441,MEASAT-1,3,MLA,91.5,31.05.2022,49,1,1,1,1,4
998,MEASAT-AK 91.5,5,MLA,91.5,31.05.2022,49,1,1,1,1,4
1265,MEASAT-IC 91.5,2,MLA,91.5,28.07.1999,49,1,1,1,1,4
1337,MEASAT-1A,1,MLA,91.5,31.05.2022,2543,1,1,1,1,4
299,MEASAT-IK 91.5E,1,MLA,91.5,28.07.1999,3276,1,1,1,1,4
440,MEASAT-1,2,MLA,91.5,31.05.2022,3276,1,1,1,1,4
612,MEASAT-91.5E,1,MLA,91.5,05.06.2003,3276,1,1,1,1,4
994,MEASAT-AK 91.5,1,MLA,91.5,31.05.2022,3276,1,1,1,1,4
1264,MEASAT-IC 91.5,1,MLA,91.5,28.07.1999,3276,1,1,1,1,4
1338,MEASAT-1A,2,MLA,91.5,31.05.2022,3276,1,1,1,1,4
1398,MEASAT-1R,1,MLA,91.5,31.05.2022,3276,1,1,1,1,4
439,MEASAT-1,1,MLA,91.5,31.05.2022,4934,1,1,1,1,4
995,MEASAT-AK 91.5,2,MLA,91.5,31.05.2022,4934,1,1,1,1,4
1339,MEASAT-1A,3,MLA,91.5,31.05.2022,4934,1,1,1,1,4
908,MEASAT-SA1A,1,MLA,5.0,21.12.2017,6024,1,1,1,1,4
753,MEASAT-46E-R,1,MLA,46.0,15.01.2013,6227,1,1,1,1,4
1357,MEASAT-46E,1,MLA,46.0,15.01.2013,6227,1,1,1,1,4
443,MEASAT-1,5,MLA,91.5,31.05.2022,6852,1,1,1,1,4
996,MEASAT-AK 91.5,3,MLA,91.5,31.05.2022,6852,1,1,1,1,4
1340,MEASAT-1A,4,MLA,91.5,31.05.2022,6852,1,1,1,1,4
1342,MEASAT-1A,6,MLA,91.5,31.05.2022,7446,1,1,1,1,4
407,MEASAT-1B,1,MLA,91.5,31.05.2022,9673,1,1,1,1,4
442,MEASAT-1,4,MLA,91.5,31.05.2022,9673,1,1,1,1,4
544,MEASAT-1C,1,MLA,91.5,31.05.2022,9673,1,1,1,1,4
903,MEASAT-91.5E,1,MLA,91.5,31.05.2022,9673,1,1,1,1,4
997,MEASAT-AK 91.5,4,MLA,91.5,31.05.2022,9673,1,1,1,1,4
1341,MEASAT-1A,5,MLA,91.5,31.05.2022,9673,1,1,1,1,4
1399,MEASAT-1R,2,MLA,91.5,31.05.2022,9673,1,1,1,1,4
1437,MEASAT-IC 91.5,1,MLA,91.5,31.05.2022,9673,1,1,1,1,4
1061,USASAT-55F,1,USA,-43.0,15.10.2009,0,0,1,1,1,3
483,N-STAR-B,1,J,136.0,07.03.2000,24,0,1,1,1,3
1334,N-STAR-A,5,J,132.0,28.09.1998,24,0,1,1,1,3
1354,N-STAR-B2,4,J,136.0,14.11.2003,24,0,1,1,1,3
1456,N-STAR-A2,2,J,132.0,14.11.2003,24,0,1,1,1,3
1604,JCSAT-FO-132E,2,J,132.0,19.11.2004,24,0,1,1,1,3
7,GEOSAT-3E,1,F,3.0,28.04.2015,37,0,1,1,1,3
761,TELECOM-2C,2,F,3.0,30.09.1998,37,0,1,1,1,3
1524,TELECOM-4C,1,F,3.0,18.01.2008,37,0,1,1,1,3
422,USASAT-26C,1,USA,-43.0,02.10.1998,46,0,1,1,1,3
553,USASAT-25C,1,USA,-43.0,02.10.1998,46,0,1,1,1,3
458,INTELSAT7 359E,1,USA,-1.0,29.10.1998,49,0,1,1,1,3
1036,INTELSAT9 359E,2,USA,-1.0,06.05.2003,49,0,1,1,1,3
1129,INTELSAT8 359E,1,USA,-1.0,06.05.2003,49,0,1,1,1,3
971,SIRIUS-5E,3,S,5.0,17.12.2010,85,0,1,1,1,3
1074,LUX-G3-24.2E,2,LUX,23.5,02.06.2010,85,0,1,1,1,3
1283,LUX-G5-25,3,LUX,108.2,30.04.2013,85,0,1,1,1,3
1576,AM-SAT-108.2E-G,3,G,108.2,17.04.2013,85,0,1,1,1,3
1641,SIRIUS-5E-2,3,S,5.0,31.01.2013,85,0,1,1,1,3
1503,CANSAT-67,1,CAN,-107.3,08.11.2019,88,0,1,1,1,3
11,MSAT,1,CAN,-106.5,28.04.1999,99,0,1,1,1,3
53,INSAT-2T (93.5),1,IND,93.5,26.09.2001,103,0,1,1,1,3
1070,INSAT-2M (93.5),1,IND,93.5,26.09.2001,103,0,1,1,1,3
