,Satellite Name,In-License Launch Number,Administration,Longitude,Date of Receipt,Launch Offset (days),Launch Country Match,Launch Spaceport Match,Launch Vehicle Match,Satellite Manufacturer Match,Match Sum
850,F-SAT-N3-10E,2,F,10.0,25.09.2019,20,1,1,1,1,4
1081,INMARSAT-S4-R,1,G,39.0,26.11.2019,21,1,1,1,1,4
1404,F-SAT-N-172E,1,F,172.0,20.04.2018,27,1,1,1,1,4
799,SE-KA-56.5E,1,NOR,56.5,14.03.2018,33,1,1,1,1,4
1152,SE-KA-83.5E,1,NOR,83.5,24.05.2017,33,1,1,1,1,4
1219,INMARSAT-KA 83.5E,1,G,83.5,12.05.2017,33,1,1,1,1,4
340,LUX-G9-38,1,LUX,-129.0,12.12.2017,41,1,1,1,1,4
1097,GIBSAT-129W-B,1,G,-129.0,21.12.2017,41,1,1,1,1,4
1348,UKNETSAT-18W,1,G,-18.0,22.07.2020,59,1,1,1,1,4
852,LUX-G8-47,1,LUX,-67.0,06.03.2018,91,1,1,1,1,4
75,UKMMSAT-A2,2,G,-33.5,11.02.2022,103,1,1,1,1,4
212,SMMSAT-2R,1,S,-33.5,19.12.2022,103,1,1,1,1,4
1045,UKMMSAT-B,1,G,-33.5,30.10.2020,103,1,1,1,1,4
88,UKDIGISAT-3,2,G,-33.5,11.02.2022,107,1,1,1,1,4
125,UKDSAT-A2,2,G,-33.5,11.02.2022,107,1,1,1,1,4
1216,UK-KA-1,1,G,-70.0,18.07.2017,133,1,1,1,1,4
419,HISPASAT-16A,1,E,-36.0,17.09.2019,151,1,1,1,1,4
1469,HISPASAT-7A,1,E,-36.0,13.07.2017,151,1,1,1,1,4
1089,HISPASAT-20A,1,E,-30.0,16.12.2020,251,1,1,1,1,4
1424,HISPASAT-10A,1,E,-30.0,06.06.2019,251,1,1,1,1,4
229,IOMSAT-KA-138E,1,G,138.0,20.12.2018,300,1,1,1,1,4
314,IOMSAT-KA-63W-R,1,G,-63.0,22.11.2018,389,1,1,1,1,4
980,LUX-G7-20,2,LUX,108.2,01.08.2016,438,1,1,1,1,4
1147,GIBSAT-108.2E,2,G,108.2,11.01.2019,438,1,1,1,1,4
1220,IOMSAT-R1,1,G,154.0,12.04.2017,469,1,1,1,1,4
962,F-SAT-N4-65W,1,F,-65.0,20.05.2021,476,1,1,1,1,4
584,F-SAT-N-A-25.5E,1,F,25.5,31.01.2019,504,1,1,1,1,4
1291,F-SAT-N3-25.5E,1,F,25.5,14.11.2019,505,1,1,1,1,4
1525,F-SAT-N5-25.5E,1,F,25.5,25.11.2019,505,1,1,1,1,4
1368,F-SAT-N3-9E,2,F,9.0,03.06.2019,516,1,1,1,1,4
572,F-SAT-N-E-36E,2,F,36.0,26.05.2016,551,1,1,1,1,4
661,F-SAT-N3-36E,2,F,36.0,07.05.2019,551,1,1,1,1,4
677,HELLAS-SAT-2G,1,GRC,39.0,04.10.2019,561,1,1,1,1,4
817,IOMSAT-2A2,1,G,-15.0,17.08.2017,590,1,1,1,1,4
181,ESAT-5,1,G,33.0,05.04.2016,605,1,1,1,1,4
52,SE-KA-180E,1,NOR,180.0,07.09.2017,670,1,1,1,1,4
815,INMARSAT-KA 180E,1,G,180.0,25.11.2016,670,1,1,1,1,4
318,F-SAT-N3-8W,1,F,-8.0,19.05.2020,678,1,1,1,1,4
1050,F-SAT-N-E-8W,1,F,-8.0,27.05.2016,678,1,1,1,1,4
347,UKJKSAT-1,1,G,31.0,11.02.2022,711,1,1,1,1,4
964,UKDSAT-B1,2,G,31.0,11.02.2022,711,1,1,1,1,4
1032,UKMMSAT-B1,2,G,31.0,11.02.2022,713,1,1,1,1,4
429,ARTEMIS-21.5E-DR,1,G,21.5,23.12.2019,717,1,1,1,1,4
1255,EDRS-31.2E,1,F,31.2,13.11.2020,717,1,1,1,1,4
765,F-SAT-N5-7E,1,F,7.0,05.07.2021,722,1,1,1,1,4
1187,F-SAT-N3-7E,1,F,7.0,18.05.2020,722,1,1,1,1,4
76,INMARSAT-8-11E,1,G,11.0,29.07.2020,870,1,1,1,1,4
693,BIFROST-0.8W-2010-KA,1,NOR,-0.8,29.10.2015,871,1,1,1,1,4
1505,BIFROST-0.8W-2010,1,NOR,-0.8,29.10.2015,871,1,1,1,1,4
113,INMARSAT-KA 55W,1,G,-55.0,29.04.2016,878,1,1,1,1,4
1488,SE-KA-55W,1,NOR,-55.0,07.09.2017,878,1,1,1,1,4
766,F-SAT-N5-7E,2,F,7.0,05.07.2021,932,1,1,1,1,4
373,LUX-G11-8,1,LUX,28.2,17.11.2022,1093,1,1,1,1,4
531,LUX-G6-6,1,LUX,21.5,07.01.2015,1093,1,1,1,1,4
1026,LUX-G7-6,1,LUX,21.5,07.01.2015,1093,1,1,1,1,4
148,F-SAT-B1-E-3E,1,F,3.0,03.07.2015,1129,1,1,1,1,4
705,F-SAT-N-E-3E,1,F,3.0,26.05.2016,1129,1,1,1,1,4
1313,F-SAT-N3-3E,1,F,3.0,20.04.2020,1129,1,1,1,1,4
495,ATHENA-FIDUS-38E,1,F,38.0,10.02.2015,1238,1,1,1,1,4
61,SE-KA-63E,1,NOR,63.0,07.09.2017,1298,1,1,1,1,4
1335,INMARSAT-KA 63E,1,G,63.0,13.12.2016,1298,1,1,1,1,4
291,SKYNET-5C-KA3,1,G,6.0,08.04.2022,1365,1,1,1,1,4
403,LUX-G6-9,1,LUX,31.5,28.11.2014,1381,1,1,1,1,4
564,LUX-G6-8,1,LUX,28.2,28.11.2014,1381,1,1,1,1,4
1382,LUX-G7-9-E2,1,LUX,31.5,14.12.2017,1381,1,1,1,1,4
648,F-SAT-N-E-25.5E,1,F,25.5,27.05.2016,1399,1,1,1,1,4
479,F-MILSATCOM3-45E,1,F,45.0,07.09.2022,1418,1,1,1,1,4
1292,FMS5-45.5E,1,F,45.5,26.02.2020,1418,1,1,1,1,4
1318,FMS5-45E,1,F,45.0,26.02.2020,1418,1,1,1,1,4
1429,FMS5-46E,1,F,46.0,26.02.2020,1418,1,1,1,1,4
169,NSS-G2-18,1,HOL,95.0,23.10.2015,1427,1,1,1,1,4
170,NSS-G2-18,2,HOL,95.0,23.10.2015,1427,1,1,1,1,4
1347,NSS-G4-26,1,HOL,95.0,25.06.2019,1427,1,1,1,1,4
1499,SICRAL-4-37E,1,I,37.0,30.04.2013,1458,1,1,1,1,4
65,ALPHASAT TDP5,1,I,25.0,25.01.2013,1473,1,1,1,1,4
697,F-SAT-N5-48E,1,F,48.0,07.04.2022,1493,1,1,1,1,4
1380,LUX-G6-51,1,LUX,-40.5,09.12.2014,1503,1,1,1,1,4
173,F-SAT-N-E-7E,1,F,7.0,27.05.2016,1506,1,1,1,1,4
1243,INMARSAT-XL1,1,G,25.0,22.11.2013,1533,1,1,1,1,4
1388,INMARSAT-4A 25E,1,G,25.0,22.11.2013,1533,1,1,1,1,4
163,LUX-G11-49,1,LUX,-67.0,26.11.2022,1579,1,1,1,1,4
563,INMARSAT-6-83E5,1,G,83.5,24.12.2022,1637,1,1,1,1,4
1241,INMARSAT-6-28W,1,G,-28.0,26.07.2022,1637,1,1,1,1,4
746,F-SAT-N-E-70.5E,2,F,70.5,25.05.2016,1668,1,1,1,1,4
1392,F-SAT-N3-70.5E,1,F,70.5,10.05.2019,1668,1,1,1,1,4
565,LUX-G6-8,2,LUX,28.2,28.11.2014,1671,1,1,1,1,4
750,F-SAT-N-E-21.5E,1,F,21.5,26.05.2016,1691,1,1,1,1,4
1396,F-SAT-N3-21.5E,1,F,21.5,28.05.2020,1691,1,1,1,1,4
25,LUX-G6-2-E,1,LUX,5.0,26.02.2016,1814,1,1,1,1,4
1639,SIRIUS-5E-2,1,S,5.0,31.01.2013,1814,1,1,1,1,4
1553,UKSAT-14,1,G,-107.0,19.05.2014,1819,1,1,1,1,4
221,NSS-G2-1,1,HOL,-177.0,23.10.2015,1847,1,1,1,1,4
143,EUROPESTAR-47.5E,1,D,47.5,26.03.2013,1915,1,1,1,1,4
349,UKJKSAT-1,3,G,31.0,11.02.2022,1945,1,1,1,1,4
