License,ITU Administration,Longitude,License Type,Filing Type,Brought into Use,Match,Link
LUX-G11-7_1,Luxembourg 🇱🇺,23.5°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=LUX-G11-7_1&sel_satname=LUX-G11-7_1&plan_id=
LUX-G11-7,Luxembourg 🇱🇺,23.5°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=LUX-G11-7&sel_satname=LUX-G11-7&plan_id=
LUX-G10-7,Luxembourg 🇱🇺,23.5°E,Non-Planned,Due Diligence (U),Yes,Partial,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=LUX-G10-7&sel_satname=LUX-G10-7&plan_id=
LUX-G7-7,Luxembourg 🇱🇺,23.5°E,Non-Planned,Due Diligence (U),Yes,None,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=LUX-G7-7&sel_satname=LUX-G7-7&plan_id=
LUX-G3-24.2E,Luxembourg 🇱🇺,23.5°E,Non-Planned,Due Diligence (U),Yes,Partial,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=LUX-G3-24.2E&sel_satname=LUX-G3-24.2E&plan_id=
DFS II-1,Germany 🇩🇪,23.5°E,Non-Planned,Due Diligence (U),Yes,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=DFS+II-1&sel_satname=DFS+II-1&plan_id=
LUX-G14-7,Luxembourg 🇱🇺,23.5°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=LUX-G14-7&sel_satname=LUX-G14-7&plan_id=
PESSE-23.5E-KA,Netherlands 🇳🇱,23.5°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=PESSE-23.5E-KA&sel_satname=PESSE-23.5E-KA&plan_id=
LUX-30B-G5-23.5E,Luxembourg 🇱🇺,23.5°E,Planned,Planned (P),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=LUX-30B-G5-23.5E&sel_satname=LUX-30B-G5-23.5E&plan_id=plan
LUX-30B-6,Luxembourg 🇱🇺,23.5°E,Planned,Notification of Space Station (N),Yes,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=LUX-30B-6&sel_satname=LUX-30B-6&plan_id=plan
LUX-30B-G4-23.5E,Luxembourg 🇱🇺,23.5°E,Planned,Due Diligence (U),Yes,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=LUX-30B-G4-23.5E&sel_satname=LUX-30B-G4-23.5E&plan_id=plan
LUX-G15-7,Luxembourg 🇱🇺,23.5°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=LUX-G15-7&sel_satname=LUX-G15-7&plan_id=
USGOVSAT-21A,United States 🇺🇸,23.5°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=USGOVSAT-21A&sel_satname=USGOVSAT-21A&plan_id=
LUX-G12-7,Luxembourg 🇱🇺,23.5°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=LUX-G12-7&sel_satname=LUX-G12-7&plan_id=
DFS-1,Germany 🇩🇪,23.5°E,Non-Planned,Due Diligence (U),Yes,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=DFS-1&sel_satname=DFS-1&plan_id=
STARTIME-23.4E,China 🇨🇳,23.4°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=STARTIME-23.4E&sel_satname=STARTIME-23.4E&plan_id=
SDN00001,Sudan 🇸🇩,23.55°E,Planned,Planned (P/Plan/List),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=SDN00001&sel_satname=SDN00001&plan_id=plan
