License,ITU Administration,Longitude,License Type,Filing Type,Brought into Use,Due Diligence Match,Suspended,Link
USTRO-5,United States 🇺🇸,10.0°W,Non-Planned,Due Diligence (U),Yes,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USTRO-5&sel_satname=USTRO-5&plan_id=
P92-3A,United States 🇺🇸,10.0°W,Non-Planned,Notification of Space Station (N),Yes,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=P92-3A&sel_satname=P92-3A&plan_id=
USMB-4,United States 🇺🇸,10.0°W,Non-Planned,Notification of Space Station (N),Yes,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=USMB-4&sel_satname=USMB-4&plan_id=
P-197-5,United States 🇺🇸,10.0°W,Non-Planned,Notification of Space Station (N),Yes,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=P-197-5&sel_satname=P-197-5&plan_id=
P92-3,United States 🇺🇸,10.0°W,Non-Planned,Notification of Space Station (N),Yes,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=P92-3&sel_satname=P92-3&plan_id=
USLL-ATL,United States 🇺🇸,10.0°W,Non-Planned,Notification of Space Station (N),Yes,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=USLL-ATL&sel_satname=USLL-ATL&plan_id=
USCSID-E1,United States 🇺🇸,10.0°W,Non-Planned,Due Diligence (U),Yes,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USCSID-E1&sel_satname=USCSID-E1&plan_id=
USMB-4A,United States 🇺🇸,10.0°W,Non-Planned,Notification of Space Station (N),Yes,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=USMB-4A&sel_satname=USMB-4A&plan_id=
TCD00000,Chad 🇹🇩,9.9°W,Planned,Planned (P/Plan/List),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=TCD00000&sel_satname=TCD00000&plan_id=plan
HS_10W,Tonga 🇹🇴,10.15°W,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=HS_10W&sel_satname=HS_10W&plan_id=
HISPASAT-82A,Spain 🇪🇸,10.25°W,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=HISPASAT-82A&sel_satname=HISPASAT-82A&plan_id=
HISPASAT-49A_1,Spain 🇪🇸,10.25°W,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=HISPASAT-49A_1&sel_satname=HISPASAT-49A_1&plan_id=
HISPASAT-45A,Spain 🇪🇸,10.25°W,Planned,Planned (P),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=HISPASAT-45A&sel_satname=HISPASAT-45A&plan_id=plan
HISPASAT-94A,Spain 🇪🇸,10.25°W,Planned,Planned (P),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=HISPASAT-94A&sel_satname=HISPASAT-94A&plan_id=plan
HISPASAT-49A,Spain 🇪🇸,10.25°W,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=HISPASAT-49A&sel_satname=HISPASAT-49A&plan_id=
HISPASAT-1-10.25W,Spain 🇪🇸,10.25°W,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=HISPASAT-1-10.25W&sel_satname=HISPASAT-1-10.25W&plan_id=
SIGNSAT-10W,China 🇨🇳,9.5°W,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=SIGNSAT-10W&sel_satname=SIGNSAT-10W&plan_id=
NIGCOMSAT-2D,Nigeria 🇳🇬,9.5°W,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=NIGCOMSAT-2D&sel_satname=NIGCOMSAT-2D&plan_id=
MEASAT-SA3C,Malaysia 🇲🇾,10.5°W,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=MEASAT-SA3C&sel_satname=MEASAT-SA3C&plan_id=
QATARSAT-G5-10.5W,Qatar 🇶🇦,10.5°W,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=QATARSAT-G5-10.5W&sel_satname=QATARSAT-G5-10.5W&plan_id=
