Network Name,Longitude,ITU Administration,Previous Name,Planned or Non-Planned,Highest Maturity,Brought-into-Use Date,Late-Stage Filing Date,Early-Stage Filing Date,Suspensions,Link
CANSAT-71,-178.5,CAN ,n/a,Non-Planned,C,n/a,n/a,2018-04-19,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=CANSAT-71&sel_satname=CANSAT-71&plan_id=
CHNNEWSAT-G1-178W,-178.0,CHN ,n/a,Non-Planned,C,n/a,n/a,2017-11-30,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=CHNNEWSAT-G1-178W&sel_satname=CHNNEWSAT-G1-178W&plan_id=
NSS-G2-1-1,-177.0,HOL ,n/a,Non-Planned,A,n/a,n/a,2022-12-22,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=A&sat_name=NSS-G2-1-1&sel_satname=NSS-G2-1-1&plan_id=
FLTSATCOM-C W PAC-2,-177.0,USA ,n/a,Non-Planned,N,1995-05-10,1992-01-03,1990-09-28,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=FLTSATCOM-C+W+PAC-2&sel_satname=FLTSATCOM-C+W+PAC-2&plan_id=
NSS-G9-177W,-177.0,HOL ,n/a,Non-Planned,C,n/a,n/a,2018-10-31,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=NSS-G9-177W&sel_satname=NSS-G9-177W&plan_id=
INTELSAT IBS 183E,-177.0,HOL ,n/a,Non-Planned,N,1998-07-01,1990-12-12,1990-06-12,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=INTELSAT+IBS+183E&sel_satname=INTELSAT+IBS+183E&plan_id=
YAMAL-183E,-177.0,RUS ,n/a,Non-Planned,N,2015-05-25,2017-12-01,2013-12-18,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=YAMAL-183E&sel_satname=YAMAL-183E&plan_id=
NSS-G2-1,-177.0,HOL ,n/a,Non-Planned,N,2015-06-28,2015-10-23,2008-11-12,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=NSS-G2-1&sel_satname=NSS-G2-1&plan_id=
NSS-FSS-G2 177W,-177.0,HOL ,n/a,Planned,P,n/a,n/a,2021-12-16,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=NSS-FSS-G2+177W&sel_satname=NSS-FSS-G2+177W&plan_id=plan
NSS-19,-177.0,HOL ,n/a,Non-Planned,N,2003-01-01,2006-10-20,1999-11-18,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=NSS-19&sel_satname=NSS-19&plan_id=
INTELSAT5 183E,-177.0,HOL ,INTELSAT5 PAC1,Non-Planned,N,1990-09-13,1990-06-12,1998-10-29,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=INTELSAT5+183E&sel_satname=INTELSAT5+183E&plan_id=
INTELSAT5A 183E,-177.0,HOL ,n/a,Non-Planned,N,1995-07-08,1990-12-12,1990-06-12,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=INTELSAT5A+183E&sel_satname=INTELSAT5A+183E&plan_id=
IRIS-8A,-177.0,USA ,n/a,Non-Planned,N,2012-12-01,2012-12-17,2011-06-23,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=IRIS-8A&sel_satname=IRIS-8A&plan_id=
INTELSAT8 183E,-177.0,HOL ,INTELSAT FOS 183E,Non-Planned,N,2001-11-24,1992-11-12,1993-09-16,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=INTELSAT8+183E&sel_satname=INTELSAT8+183E&plan_id=
INTELSAT7 183E,-177.0,HOL ,n/a,Non-Planned,N,1996-06-01,1990-12-12,1990-06-12,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=INTELSAT7+183E&sel_satname=INTELSAT7+183E&plan_id=
CANGYU-4,-175.9,CHN ,n/a,Non-Planned,C,n/a,n/a,2022-07-27,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=CANGYU-4&sel_satname=CANGYU-4&plan_id=
INMARSAT-8-175W,-175.0,G ,n/a,Non-Planned,C,n/a,n/a,2019-03-19,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=INMARSAT-8-175W&sel_satname=INMARSAT-8-175W&plan_id=
TDRS 174W,-174.0,USA ,n/a,Non-Planned,N,1990-05-01,1990-02-14,1989-01-17,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=TDRS+174W&sel_satname=TDRS+174W&plan_id=
N-SAT-Y18-173W,-173.0,J ,n/a,Non-Planned,C,n/a,n/a,2018-01-23,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=N-SAT-Y18-173W&sel_satname=N-SAT-Y18-173W&plan_id=
N-SAT-Y22-173W,-173.0,J ,n/a,Non-Planned,C,n/a,n/a,2022-01-01,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=N-SAT-Y22-173W&sel_satname=N-SAT-Y22-173W&plan_id=
N-SAT-Y22-172W,-172.0,J ,n/a,Non-Planned,C,n/a,n/a,2022-01-01,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=N-SAT-Y22-172W&sel_satname=N-SAT-Y22-172W&plan_id=
N-SAT-Y19-172W,-172.0,J ,n/a,Non-Planned,C,n/a,n/a,2019-08-30,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=N-SAT-Y19-172W&sel_satname=N-SAT-Y19-172W&plan_id=
TDRS WEST,-171.0,USA ,n/a,Non-Planned,N,1988-09-29,1982-08-24,1996-06-13,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=TDRS+WEST&sel_satname=TDRS+WEST&plan_id=
TOR-5,-170.0,RUS ,n/a,Non-Planned,N,1992-07-15,1986-08-21,1985-10-04,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=TOR-5&sel_satname=TOR-5&plan_id=
TOR-5M,-170.0,RUS ,n/a,Non-Planned,N,2006-09-22,2005-11-09,1997-01-03,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=TOR-5M&sel_satname=TOR-5M&plan_id=
STATSIONAR-10,-170.0,RUS ,n/a,Non-Planned,N,1982-06-30,1994-01-31,1977-11-28,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=STATSIONAR-10&sel_satname=STATSIONAR-10&plan_id=
STATSIONAR-10A,-170.0,RUS ,n/a,Non-Planned,N,1992-07-31,1988-07-28,1987-10-07,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=STATSIONAR-10A&sel_satname=STATSIONAR-10A&plan_id=
VOLNA-7,-170.0,RUS ,n/a,Non-Planned,N,1985-12-31,1991-02-01,1991-02-01,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=VOLNA-7&sel_satname=VOLNA-7&plan_id=
RGS-S-170W,-170.0,RUS ,n/a,Non-Planned,C,n/a,n/a,2019-12-17,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=RGS-S-170W&sel_satname=RGS-S-170W&plan_id=
GALS-4,-170.0,RUS ,n/a,Non-Planned,N,1985-06-29,2005-03-15,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=GALS-4&sel_satname=GALS-4&plan_id=
NSS-G5-1,-169.5,HOL ,n/a,Non-Planned,C,2020-04-29,2021-06-08,2014-06-12,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=NSS-G5-1&sel_satname=NSS-G5-1&plan_id=
FOTON-3,-168.0,RUS ,n/a,Planned,N,1994-10-01,1988-09-27,1985-07-04,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=FOTON-3&sel_satname=FOTON-3&plan_id=plan
F-SAT-30B-168W,-168.0,F ,n/a,Planned,P,n/a,n/a,2017-11-02,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=F-SAT-30B-168W&sel_satname=F-SAT-30B-168W&plan_id=plan
POTOK-3,-168.0,RUS ,n/a,Non-Planned,N,1985-06-29,1982-01-20,1981-07-23,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=POTOK-3&sel_satname=POTOK-3&plan_id=
FOTON-3,-168.0,RUS ,n/a,Non-Planned,N,1994-10-01,1988-09-27,1985-07-04,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=FOTON-3&sel_satname=FOTON-3&plan_id=
F-SAT-N7-168W,-168.0,F ,n/a,Non-Planned,C,n/a,n/a,2019-07-04,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=F-SAT-N7-168W&sel_satname=F-SAT-N7-168W&plan_id=
TDRS 167.5W,-167.5,USA ,n/a,Non-Planned,N,2008-11-12,2012-04-18,2009-03-18,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=TDRS+167.5W&sel_satname=TDRS+167.5W&plan_id=
GANTS-3,-167.0,G ,n/a,Non-Planned,C,n/a,n/a,2018-07-26,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=GANTS-3&sel_satname=GANTS-3&plan_id=
NICASAT-2A,-166.2,NCG ,n/a,Non-Planned,C,n/a,n/a,2017-09-25,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=NICASAT-2A&sel_satname=NICASAT-2A&plan_id=
NICASAT-2-30B,-166.2,NCG ,n/a,Planned,P,n/a,n/a,2017-09-19,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=NICASAT-2-30B&sel_satname=NICASAT-2-30B&plan_id=plan
N-SAT-Y22-166W,-166.0,J ,n/a,Non-Planned,C,n/a,n/a,2022-01-01,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=N-SAT-Y22-166W&sel_satname=N-SAT-Y22-166W&plan_id=
F-SAT-P-30B-165W-F,-165.0,F ,n/a,Planned,P,n/a,n/a,2023-02-03,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=F-SAT-P-30B-165W-F&sel_satname=F-SAT-P-30B-165W-F&plan_id=plan
F-SAT-30B-165W,-165.0,F ,n/a,Planned,P,n/a,n/a,2017-11-02,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=F-SAT-30B-165W&sel_satname=F-SAT-30B-165W&plan_id=plan
USGON-4,-165.0,USA ,n/a,Non-Planned,N,1989-01-01,1995-12-18,1995-01-02,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=USGON-4&sel_satname=USGON-4&plan_id=
F-SAT-N6-165W,-165.0,F ,n/a,Non-Planned,C,n/a,n/a,2017-10-31,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=F-SAT-N6-165W&sel_satname=F-SAT-N6-165W&plan_id=
USOBO-13B,-165.0,USA ,n/a,Non-Planned,C,n/a,n/a,2018-05-10,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=USOBO-13B&sel_satname=USOBO-13B&plan_id=
USOBO-13C,-165.0,USA ,n/a,Non-Planned,C,n/a,n/a,2022-12-05,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=USOBO-13C&sel_satname=USOBO-13C&plan_id=
TDRS 164.2W,-164.2,USA ,n/a,Non-Planned,A,n/a,2012-03-06,2011-06-03,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=A&sat_name=TDRS+164.2W&sel_satname=TDRS+164.2W&plan_id=
USASAT-71S,-163.0,USA ,n/a,Non-Planned,C,n/a,n/a,2022-11-08,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=USASAT-71S&sel_satname=USASAT-71S&plan_id=
AURORA-IV-163W,-163.0,G ,n/a,Non-Planned,C,n/a,n/a,2018-12-12,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=AURORA-IV-163W&sel_satname=AURORA-IV-163W&plan_id=
N-SAT-Y21-161W,-161.0,J ,n/a,Non-Planned,C,n/a,n/a,2021-01-15,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=N-SAT-Y21-161W&sel_satname=N-SAT-Y21-161W&plan_id=
ESDRN,-160.0,RUS ,n/a,Planned,N,1986-10-01,1982-01-19,1981-07-10,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=ESDRN&sel_satname=ESDRN&plan_id=plan
ESDRN-M,-160.0,RUS ,n/a,Non-Planned,N,2019-05-09,2019-12-11,2015-11-10,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=ESDRN-M&sel_satname=ESDRN-M&plan_id=
SE-8-160W,-160.0,NOR ,n/a,Non-Planned,C,n/a,n/a,2019-03-11,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=SE-8-160W&sel_satname=SE-8-160W&plan_id=
ESDRN,-160.0,RUS ,n/a,Non-Planned,N,1986-10-01,1982-01-19,1981-07-10,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=ESDRN&sel_satname=ESDRN&plan_id=
USOBO-1C,-159.4,USA ,n/a,Non-Planned,C,n/a,n/a,2022-12-05,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=USOBO-1C&sel_satname=USOBO-1C&plan_id=
USOBO-1A,-159.4,USA ,n/a,Non-Planned,N,2017-12-30,2018-04-05,2011-06-23,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=USOBO-1A&sel_satname=USOBO-1A&plan_id=
GALS-M-7,-159.0,RUS ,n/a,Non-Planned,C,n/a,n/a,2022-12-14,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=GALS-M-7&sel_satname=GALS-M-7&plan_id=
WAK00000,-159.0,USA ,n/a,Planned,P/Plan/List,n/a,n/a,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=WAK00000&sel_satname=WAK00000&plan_id=plan
SMA00000,-159.0,USA ,n/a,Planned,P/Plan/List,n/a,n/a,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=SMA00000&sel_satname=SMA00000&plan_id=plan
PLM00000,-159.0,USA ,n/a,Planned,P/Plan/List,n/a,n/a,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=PLM00000&sel_satname=PLM00000&plan_id=plan
MHL00000,-159.0,USA ,n/a,Planned,P/Plan/List,n/a,n/a,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=MHL00000&sel_satname=MHL00000&plan_id=plan
INMARSAT-6-159W,-159.0,G ,n/a,Non-Planned,C,n/a,n/a,2018-05-17,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=INMARSAT-6-159W&sel_satname=INMARSAT-6-159W&plan_id=
JAR00000,-159.0,USA ,n/a,Planned,P/Plan/List,n/a,n/a,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=JAR00000&sel_satname=JAR00000&plan_id=plan
JON00000,-159.0,USA ,n/a,Planned,P/Plan/List,n/a,n/a,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=JON00000&sel_satname=JON00000&plan_id=plan
PROGNOZ-7,-159.0,RUS ,n/a,Non-Planned,N,1993-07-01,1986-08-20,1985-10-04,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=PROGNOZ-7&sel_satname=PROGNOZ-7&plan_id=
XCQ00000,-159.0,USA ,n/a,Planned,P/Plan/List,n/a,n/a,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=XCQ00000&sel_satname=XCQ00000&plan_id=plan
GUMMRA00,-159.0,USA ,n/a,Planned,P/Plan/List,n/a,n/a,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=GUMMRA00&sel_satname=GUMMRA00&plan_id=plan
HWA00000,-159.0,USA ,n/a,Planned,P/Plan/List,n/a,n/a,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=HWA00000&sel_satname=HWA00000&plan_id=plan
MDW00000,-159.0,USA ,n/a,Planned,P/Plan/List,n/a,n/a,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=MDW00000&sel_satname=MDW00000&plan_id=plan
HWL00000,-159.0,USA ,n/a,Planned,P/Plan/List,n/a,n/a,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=HWL00000&sel_satname=HWL00000&plan_id=plan
ALS00000,-159.0,USA ,n/a,Planned,P/Plan/List,n/a,n/a,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=ALS00000&sel_satname=ALS00000&plan_id=plan
NSS-G8 157W,-157.0,HOL ,n/a,Non-Planned,C,n/a,n/a,2018-10-01,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=NSS-G8+157W&sel_satname=NSS-G8+157W&plan_id=
N-SAT-Y22-157W,-157.0,J ,n/a,Non-Planned,C,n/a,n/a,2022-01-01,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=N-SAT-Y22-157W&sel_satname=N-SAT-Y22-157W&plan_id=
NSS-FSS 157W,-157.0,HOL ,n/a,Planned,P,n/a,n/a,2018-10-01,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=NSS-FSS+157W&sel_satname=NSS-FSS+157W&plan_id=plan
USGAE-18A,-155.0,USA ,n/a,Non-Planned,C,2021-09-05,2022-03-16,2015-09-02,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=USGAE-18A&sel_satname=USGAE-18A&plan_id=
AURORA-IV-154W,-154.0,G ,n/a,Non-Planned,C,n/a,n/a,2018-02-21,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=AURORA-IV-154W&sel_satname=AURORA-IV-154W&plan_id=
HISPASAT-2-152.5W,-152.5,E ,n/a,Planned,P,n/a,n/a,2021-06-30,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=HISPASAT-2-152.5W&sel_satname=HISPASAT-2-152.5W&plan_id=plan
HISPASAT-1-152.5W,-152.5,E ,n/a,Non-Planned,C,n/a,n/a,2020-04-30,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=HISPASAT-1-152.5W&sel_satname=HISPASAT-1-152.5W&plan_id=
F-SAT-N7-152W,-152.0,F ,n/a,Non-Planned,C,n/a,n/a,2019-06-17,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=F-SAT-N7-152W&sel_satname=F-SAT-N7-152W&plan_id=
F-SAT-N10-152W,-152.0,F ,n/a,Non-Planned,C,n/a,n/a,2022-06-17,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=F-SAT-N10-152W&sel_satname=F-SAT-N10-152W&plan_id=
F-SAT-30B-152W,-152.0,F ,n/a,Planned,P,n/a,n/a,2017-04-05,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=F-SAT-30B-152W&sel_satname=F-SAT-30B-152W&plan_id=plan
F-SAT-P-30B-152W-F,-152.0,F ,n/a,Planned,P,n/a,n/a,2022-05-23,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=F-SAT-P-30B-152W-F&sel_satname=F-SAT-P-30B-152W-F&plan_id=plan
ODYSSEY-150W,-150.0,D ,n/a,Non-Planned,C,n/a,n/a,2020-08-29,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=ODYSSEY-150W&sel_satname=ODYSSEY-150W&plan_id=
DIMENSION-8,-150.0,G ,n/a,Non-Planned,C,n/a,n/a,2019-02-07,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=DIMENSION-8&sel_satname=DIMENSION-8&plan_id=
USGAE-10R,-150.0,USA ,n/a,Non-Planned,N,2007-03-28,2009-10-28,2002-12-13,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=USGAE-10R&sel_satname=USGAE-10R&plan_id=
KYPROS-149W,-149.0,CYP ,n/a,Non-Planned,C,n/a,n/a,2017-01-01,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=KYPROS-149W&sel_satname=KYPROS-149W&plan_id=
INMARSAT-6-148W,-148.0,G ,n/a,Non-Planned,C,n/a,n/a,2018-03-07,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=INMARSAT-6-148W&sel_satname=INMARSAT-6-148W&plan_id=
SE-8-148W,-148.0,NOR ,n/a,Non-Planned,C,n/a,n/a,2019-03-11,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=SE-8-148W&sel_satname=SE-8-148W&plan_id=
NSS-G8-3,-148.0,HOL ,n/a,Non-Planned,C,n/a,n/a,2019-12-11,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=NSS-G8-3&sel_satname=NSS-G8-3&plan_id=
F-SAT-N6-146W,-146.0,F ,n/a,Non-Planned,C,n/a,n/a,2017-07-11,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=F-SAT-N6-146W&sel_satname=F-SAT-N6-146W&plan_id=
F-SAT-N8-146W,-146.0,F ,n/a,Non-Planned,C,n/a,n/a,2020-07-21,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=F-SAT-N8-146W&sel_satname=F-SAT-N8-146W&plan_id=
F-SAT-30B-146W,-146.0,F ,n/a,Planned,P,n/a,n/a,2018-04-04,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=F-SAT-30B-146W&sel_satname=F-SAT-30B-146W&plan_id=plan
MADAR-145W,-145.0,UAE ,n/a,Non-Planned,C,n/a,n/a,2020-07-29,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=MADAR-145W&sel_satname=MADAR-145W&plan_id=
USGON-7,-145.0,USA ,n/a,Non-Planned,N,1989-01-01,1995-12-18,1995-01-02,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=USGON-7&sel_satname=USGON-7&plan_id=
IRIS-9B,-145.0,USA ,n/a,Non-Planned,C,n/a,n/a,2018-03-08,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=IRIS-9B&sel_satname=IRIS-9B&plan_id=
USOBO-14C,-145.0,USA ,n/a,Non-Planned,C,n/a,n/a,2022-12-05,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=USOBO-14C&sel_satname=USOBO-14C&plan_id=
FLTSATCOM-C W PAC-3,-145.0,USA ,n/a,Non-Planned,N,1996-01-09,1992-01-03,1990-09-28,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=FLTSATCOM-C+W+PAC-3&sel_satname=FLTSATCOM-C+W+PAC-3&plan_id=
USOBO-14B,-145.0,USA ,n/a,Non-Planned,C,n/a,n/a,2018-05-10,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=USOBO-14B&sel_satname=USOBO-14B&plan_id=
P-197-2,-144.0,USA ,n/a,Non-Planned,N,1997-01-01,1997-06-06,1996-04-02,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=P-197-2&sel_satname=P-197-2&plan_id=
USTRO-2,-144.0,USA ,n/a,Non-Planned,N,2004-02-15,1997-11-14,1996-12-23,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=USTRO-2&sel_satname=USTRO-2&plan_id=
USCSID-W2,-144.0,USA ,n/a,Non-Planned,N,1994-10-01,1996-02-07,1995-08-07,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=USCSID-W2&sel_satname=USCSID-W2&plan_id=
P92-6,-144.0,USA ,n/a,Non-Planned,N,1992-01-01,1996-04-11,1995-03-28,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=P92-6&sel_satname=P92-6&plan_id=
USLL-PAC,-144.0,USA ,n/a,Non-Planned,N,1996-01-01,1995-06-27,1994-06-21,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=USLL-PAC&sel_satname=USLL-PAC&plan_id=
P92-6A,-144.0,USA ,n/a,Non-Planned,N,2021-10-12,2022-02-10,2015-06-03,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=P92-6A&sel_satname=P92-6A&plan_id=
QATARSAT-G5-143W,-143.0,QAT ,n/a,Non-Planned,C,n/a,n/a,2020-01-20,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=QATARSAT-G5-143W&sel_satname=QATARSAT-G5-143W&plan_id=
UKNETSAT-143W,-143.0,G ,n/a,Non-Planned,C,n/a,n/a,2019-12-05,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=UKNETSAT-143W&sel_satname=UKNETSAT-143W&plan_id=
